Joueur,�ge,Position,Ligue,�quipe,Matchs jou�s,Titularisations,Minutes jou�es,Matches �quivalents 90 minutes,Buts,Passes d�cisives,Buts + Passes d�cisives,Buts hors penalty,Penalty marqu�s,Penalty tent�s,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes d�cisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,R�ceptions progressives ,Buts par 90 minutes,Passes d�cisives par 90 minutes,Buts + Passes d�cisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes d�cisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (�quivalents 90 minutes),Actions menant � un tir,Actions menant � un tir par 90 minutes ,Passes vivantes menant � un tir,Passes arr�t�es menant � un tir,Ballons perdus menant � un tir,Tirs menant � un tir,Fautes subies menant � un tir,Actions d�fensives menant � un tir,Actions menant � un but,Actions menant � un but par 90 minutes,Passes vivantes menant � un but,Passes arr�t�es menant � un but,Ballons perdus menant � un but,Tirs menant � un but,Fautes subies menant � un but ,Actions d�fensives menant � un but,Passes r�ussies totales,Passes tent�es totales,Pourcentage de r�ussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes r�ussies,Passes courtes tent�es,Pourcentage de r�ussite des passes courtes,Passes moyennes r�ussies,Passes moyennes tent�es,Pourcentage de r�ussite des passes moyennes,Passes longues r�ussies,Passes longues tent�es,Pourcentage de r�ussite des passes longues,Passes d�cisives,Passes d�cisives attendues (xAG),Passes attendues ,Diff�rence entre passes attendues et xAG,Passes cl�s,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles r�ussis,Penalty obtenus,Penalty conc�d�s,Buts contre son camp,Ballons r�cup�r�s,Duels a�riens gagn�s,Duels a�riens perdus,Pourcentage de duels a�riens gagn�s,Buts,Tirs,Tirs cadr�s,Pourcentage de tirs cadr�s,Tirs par 90 minutes,Tirs cadr�s par 90 minutes,Buts par tir,Buts par tir cadr� ,Distance moyenne des tirs,Coups francs,Penalty marqu�s,Penalty tent�s,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Diff�rence entre buts r�els et xG ,Diff�rence entre buts r�els hors penalty et npxG,Tacles,Tacles r�ussis,Tacles dans le tiers d�fensif,Tacles dans le tiers m�dian,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tent�s,Pourcentage de tacles r�ussis Tkl%,Duels perdus,Contres,Tirs contr�s ,Passes cntr�es ,Interceptions ,Tacles + Interceptions,D�gagements,Erreurs ayant conduit � un tir adverse,Minutes par match ,Pourcentage de minutes jou�es ,Titularisations,Minutes par titularisation ,Matches compl�t�s,Rempla�ants,Minutes par entr�e,Matches non remplac�,Points par match,Buts marqu�s avec le joueur,Buts encaiss�s avec le joueur,Diff�rence de buts avec le joueur,Diff�rence de buts par 90 minutes,Diff�rence avec/sans le joueur,xG marqu�s avec le joueur ,xG encaiss�s avec le joueur,Diff�rence de xG avec le joueur,Diff�rence de xG par 90 minutes,Diff�rence de xG avec/sans le joueur,Touches,Touches dans la surface d�fensive,Touches dans le tiers d�fensif,Touches dans le tier m�dian,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tent�s,Dribbles r�ussis,Pourcentage de dribbles r�ussis,Ballons perdus apr�s dribble,Pourcentage de ballons perdus apr�s dribble,Port�es de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Sergi Guardiola,32.0,Forward,La Liga,Cádiz,22.0,1.0,495.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.8,2.6,10.0,19.0,32.0,0.18,0.18,0.36,0.18,0.36,0.33,0.14,0.48,0.33,0.48,5.5,15.0,2.73,10.0,0.0,0.0,3.0,2.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,148.0,209.0,70.8,2210.0,518.0,83.0,101.0,82.2,52.0,65.0,80.0,8.0,23.0,34.8,1.0,0.8,0.8,0.2,4.0,10.0,2.0,2.0,19.0,0.0,18.0,22.0,3.0,17.0,0.0,7.0,0.0,0.0,0.0,27.0,5.0,10.0,33.3,1.0,14.0,5.0,35.7,2.55,0.91,0.07,0.2,16.9,0.0,0.0,0.0,1.8,1.8,0.13,-0.8,-0.8,10.0,7.0,2.0,6.0,2.0,4.0,9.0,44.4,5.0,10.0,0.0,10.0,0.0,10.0,4.0,0.0,23.0,14.5,1.0,69.0,0.0,21.0,20.0,11.0,0.73,6.0,7.0,-1.0,-0.18,0.68,6.7,8.1,-1.3,-0.24,0.22,281.0,3.0,19.0,143.0,123.0,14.0,281.0,14.0,7.0,50.0,6.0,42.9,193.0,860.0,272.0,10.0,7.0,2.0
Nemanja Gudelj,31.0,Defender,La Liga,Sevilla,22.0,20.0,1742.0,19.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,0.4,1.2,23.0,73.0,5.0,0.05,0.05,0.1,0.05,0.1,0.04,0.02,0.06,0.04,0.06,19.4,20.0,1.03,17.0,1.0,0.0,2.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,914.0,1061.0,86.1,16667.0,5686.0,346.0,374.0,92.5,487.0,535.0,91.0,71.0,114.0,62.3,1.0,0.4,0.4,0.6,7.0,82.0,2.0,2.0,73.0,0.0,30.0,11.0,0.0,3.0,27.0,24.0,0.0,0.0,0.0,85.0,41.0,21.0,66.1,1.0,19.0,3.0,15.8,0.98,0.15,0.05,0.33,24.1,4.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,31.0,24.0,18.0,10.0,3.0,17.0,31.0,54.8,14.0,17.0,9.0,8.0,27.0,58.0,56.0,0.0,79.0,50.9,20.0,86.0,16.0,2.0,16.0,2.0,1.05,29.0,24.0,5.0,0.26,0.85,21.2,25.8,-4.5,-0.23,0.12,1245.0,90.0,519.0,634.0,95.0,8.0,1245.0,6.0,4.0,66.7,2.0,33.3,662.0,3913.0,2413.0,23.0,21.0,0.0
Gabriel Gudmundsson,24.0,Defender,Ligue 1,Lille,25.0,14.0,1267.0,14.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,1.2,2.2,39.0,37.0,66.0,0.07,0.0,0.07,0.07,0.07,0.08,0.08,0.16,0.08,0.16,14.1,22.0,1.56,17.0,0.0,3.0,1.0,0.0,1.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,437.0,560.0,78.0,6983.0,1602.0,209.0,249.0,83.9,187.0,233.0,80.3,26.0,41.0,63.4,0.0,1.2,1.6,-1.2,13.0,20.0,10.0,5.0,37.0,0.0,21.0,19.0,4.0,36.0,15.0,16.0,0.0,0.0,0.0,65.0,9.0,14.0,39.1,1.0,15.0,5.0,33.3,1.07,0.36,0.07,0.2,17.5,0.0,0.0,0.0,1.1,1.1,0.07,-0.1,-0.1,22.0,16.0,7.0,13.0,2.0,12.0,20.0,60.0,8.0,14.0,3.0,11.0,15.0,37.0,25.0,0.0,51.0,41.4,14.0,80.0,7.0,11.0,14.0,9.0,1.72,21.0,13.0,8.0,0.57,0.07,18.5,16.3,2.1,0.15,-0.35,711.0,35.0,177.0,332.0,216.0,39.0,711.0,32.0,9.0,28.1,18.0,56.3,484.0,3180.0,1373.0,39.0,19.0,13.0
Gonçalo Guedes,26.0,Forward,La Liga,Villarreal,17.0,9.0,951.0,10.6,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.3,2.3,1.5,3.8,38.0,50.0,88.0,0.28,0.19,0.47,0.28,0.47,0.22,0.14,0.36,0.22,0.36,10.6,40.0,3.79,29.0,1.0,4.0,4.0,1.0,1.0,4.0,0.38,3.0,0.0,0.0,1.0,0.0,0.0,255.0,333.0,76.6,4075.0,1057.0,136.0,159.0,85.5,98.0,121.0,81.0,16.0,28.0,57.1,2.0,1.5,1.1,0.5,19.0,19.0,23.0,8.0,50.0,0.0,5.0,16.0,3.0,27.0,2.0,4.0,0.0,0.0,0.0,29.0,2.0,10.0,16.7,3.0,26.0,8.0,30.8,2.46,0.76,0.12,0.38,19.6,0.0,0.0,0.0,2.3,2.3,0.09,0.7,0.7,6.0,4.0,1.0,2.0,3.0,2.0,7.0,28.6,5.0,8.0,0.0,8.0,2.0,8.0,3.0,0.0,56.0,27.8,9.0,79.0,3.0,8.0,30.0,1.0,1.82,24.0,16.0,8.0,0.76,1.05,14.8,15.0,-0.2,-0.02,0.08,434.0,6.0,32.0,155.0,248.0,42.0,434.0,15.0,10.0,66.7,5.0,33.3,264.0,1721.0,925.0,38.0,18.0,10.0
Axel Gueguin,18.0,Defender,Ligue 1,Montpellier,3.0,1.0,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,1.5,2.0,1.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,43.0,65.1,389.0,200.0,17.0,21.0,81.0,8.0,13.0,61.5,1.0,4.0,25.0,0.0,0.1,0.1,-0.1,1.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,10.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,6.0,2.0,1.0,2.0,6.0,33.3,4.0,2.0,0.0,2.0,2.0,11.0,6.0,0.0,44.0,4.3,1.0,90.0,1.0,2.0,21.0,2.0,0.33,0.0,2.0,-2.0,-1.36,-1.27,0.7,3.6,-3.0,-2.04,-1.98,68.0,4.0,30.0,24.0,14.0,2.0,68.0,2.0,1.0,50.0,1.0,50.0,35.0,240.0,86.0,2.0,2.0,1.0
Marc Guéhi,23.0,Defender,Premier League,Crystal Palace,25.0,23.0,2021.0,22.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.2,15.0,67.0,7.0,0.0,0.04,0.04,0.0,0.04,0.03,0.03,0.05,0.03,0.05,22.5,22.0,0.98,17.0,0.0,0.0,2.0,2.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,1138.0,1309.0,86.9,22770.0,7962.0,363.0,403.0,90.1,636.0,673.0,94.5,130.0,212.0,61.3,1.0,0.6,1.0,0.4,7.0,90.0,5.0,0.0,67.0,0.0,14.0,26.0,0.0,3.0,18.0,19.0,0.0,0.0,0.0,120.0,29.0,29.0,50.0,0.0,5.0,0.0,0.0,0.22,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6,28.0,19.0,21.0,7.0,0.0,14.0,24.0,58.3,10.0,22.0,17.0,5.0,18.0,46.0,89.0,1.0,81.0,59.1,23.0,86.0,19.0,2.0,17.0,0.0,1.32,30.0,32.0,-2.0,-0.09,-0.15,28.2,30.3,-2.1,-0.09,-0.01,1501.0,196.0,761.0,678.0,67.0,12.0,1501.0,13.0,7.0,53.8,4.0,30.8,898.0,4190.0,2201.0,15.0,9.0,1.0
Mattéo Guendouzi,24.0,Midfielder,Serie A,Lazio,33.0,27.0,2367.0,26.3,2.0,3.0,5.0,2.0,0.0,0.0,3.0,1.0,1.6,1.6,2.3,3.9,46.0,119.0,79.0,0.08,0.11,0.19,0.08,0.19,0.06,0.09,0.15,0.06,0.15,26.3,52.0,1.98,45.0,0.0,0.0,2.0,3.0,2.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,926.0,1119.0,82.8,15130.0,3632.0,467.0,509.0,91.7,363.0,432.0,84.0,71.0,107.0,66.4,3.0,2.3,2.4,0.7,23.0,105.0,29.0,8.0,119.0,0.0,26.0,34.0,0.0,42.0,21.0,15.0,0.0,1.0,0.0,120.0,12.0,25.0,32.4,2.0,26.0,6.0,23.1,0.99,0.23,0.08,0.33,19.2,0.0,0.0,0.0,1.6,1.6,0.06,0.4,0.4,34.0,15.0,11.0,18.0,5.0,21.0,49.0,42.9,28.0,24.0,6.0,18.0,21.0,55.0,24.0,1.0,72.0,69.2,27.0,83.0,17.0,6.0,22.0,0.0,1.67,34.0,28.0,6.0,0.23,-0.11,32.2,30.7,1.5,0.06,-0.2,1323.0,39.0,246.0,754.0,337.0,44.0,1323.0,22.0,7.0,31.8,13.0,59.1,722.0,4140.0,1958.0,46.0,33.0,4.0
Mattéo Guendouzi,24.0,Midfielder,Ligue 1,Marseille,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,2.59,2.59,2.59,0.2,2.0,9.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,127.0,53.0,5.0,5.0,100.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,100.0,9.47,9.47,0.0,0.0,14.2,0.0,0.0,0.0,0.5,0.5,0.27,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.6,0.0,0.0,0.0,2.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,-0.33,1.2,0.2,1.0,4.52,3.97,16.0,0.0,3.0,6.0,8.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,159.0,98.0,2.0,2.0,0.0
Javier Guerra,20.0,Midfielder,La Liga,Valencia,36.0,28.0,2498.0,27.8,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,2.7,2.7,0.9,3.6,47.0,81.0,68.0,0.14,0.04,0.18,0.14,0.18,0.1,0.03,0.13,0.1,0.13,27.8,46.0,1.66,33.0,0.0,7.0,3.0,3.0,0.0,1.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,700.0,969.0,72.2,11090.0,2783.0,334.0,415.0,80.5,288.0,360.0,80.0,48.0,112.0,42.9,1.0,0.9,1.9,0.1,12.0,64.0,11.0,2.0,81.0,0.0,40.0,30.0,2.0,24.0,18.0,24.0,0.0,0.0,0.0,177.0,25.0,32.0,43.9,4.0,42.0,14.0,33.3,1.51,0.5,0.1,0.29,24.3,1.0,0.0,0.0,2.7,2.7,0.06,1.3,1.3,54.0,24.0,25.0,22.0,7.0,22.0,58.0,37.9,36.0,27.0,7.0,20.0,18.0,72.0,44.0,0.0,69.0,73.0,28.0,83.0,16.0,8.0,22.0,0.0,1.25,28.0,34.0,-6.0,-0.22,-0.31,29.9,33.7,-3.7,-0.13,-0.06,1292.0,65.0,291.0,720.0,308.0,22.0,1292.0,78.0,38.0,48.7,35.0,44.9,743.0,4753.0,2199.0,47.0,46.0,9.0
Raphaël Guerreiro,29.0,Defender,Bundesliga,Bayern Munich,20.0,13.0,1191.0,13.2,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,2.0,4.4,36.0,86.0,90.0,0.23,0.0,0.23,0.23,0.23,0.18,0.15,0.33,0.18,0.33,13.2,50.0,3.78,41.0,6.0,1.0,1.0,0.0,1.0,7.0,0.53,7.0,0.0,0.0,0.0,0.0,0.0,880.0,1017.0,86.5,12817.0,4122.0,537.0,581.0,92.4,281.0,325.0,86.5,39.0,63.0,61.9,0.0,2.0,3.4,-2.0,23.0,68.0,26.0,9.0,86.0,0.0,3.0,7.0,0.0,42.0,15.0,16.0,0.0,0.0,0.0,59.0,2.0,5.0,28.6,3.0,18.0,6.0,33.3,1.36,0.45,0.17,0.5,19.1,0.0,0.0,0.0,2.4,2.4,0.14,0.6,0.6,19.0,16.0,6.0,9.0,4.0,9.0,15.0,60.0,6.0,7.0,1.0,6.0,15.0,34.0,5.0,1.0,60.0,38.9,13.0,75.0,5.0,7.0,31.0,2.0,1.9,33.0,17.0,16.0,1.21,-0.38,33.0,13.2,19.8,1.49,-0.11,1118.0,21.0,230.0,485.0,408.0,43.0,1118.0,19.0,13.0,68.4,6.0,31.6,610.0,3190.0,1838.0,36.0,33.0,5.0
Axel Guessand,18.0,Defender,Serie A,Udinese,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,77.8,471.0,141.0,5.0,7.0,71.4,14.0,16.0,87.5,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,45.0,1.3,0.0,0.0,0.0,1.0,45.0,12.0,1.0,0.0,0.0,0.0,0.0,0.43,0.4,0.8,-0.4,-0.81,-0.55,33.0,1.0,10.0,22.0,1.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,21.0,108.0,63.0,1.0,0.0,0.0
Evann Guessand,22.0,Forward,Ligue 1,Nice,34.0,14.0,1553.0,17.3,6.0,0.0,6.0,4.0,2.0,2.0,1.0,0.0,8.4,6.8,1.4,8.2,40.0,34.0,114.0,0.35,0.0,0.35,0.23,0.23,0.48,0.08,0.56,0.39,0.47,17.3,47.0,2.72,27.0,0.0,7.0,5.0,6.0,2.0,5.0,0.29,1.0,0.0,1.0,0.0,3.0,0.0,218.0,294.0,74.1,2999.0,623.0,128.0,158.0,81.0,68.0,95.0,71.6,8.0,11.0,72.7,0.0,1.4,1.0,-1.4,15.0,15.0,12.0,0.0,34.0,0.0,32.0,47.0,5.0,11.0,12.0,7.0,3.0,0.0,0.0,56.0,24.0,26.0,48.0,6.0,46.0,20.0,43.5,2.67,1.16,0.09,0.2,12.4,0.0,2.0,2.0,8.4,6.8,0.15,-2.4,-2.8,16.0,7.0,2.0,7.0,7.0,6.0,7.0,85.7,1.0,12.0,1.0,11.0,12.0,28.0,7.0,0.0,46.0,50.8,14.0,79.0,7.0,20.0,22.0,0.0,1.62,18.0,20.0,-2.0,-0.12,-0.89,26.2,21.4,4.8,0.28,-0.3,565.0,6.0,59.0,233.0,285.0,103.0,563.0,64.0,24.0,37.5,36.0,56.3,411.0,3021.0,1104.0,40.0,29.0,14.0
Ander Guevara,26.0,Midfielder,La Liga,Alavés,37.0,33.0,2932.0,32.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.9,1.5,53.0,187.0,37.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,32.6,69.0,2.12,58.0,4.0,2.0,3.0,1.0,1.0,3.0,0.09,2.0,0.0,0.0,0.0,1.0,0.0,1111.0,1471.0,75.5,18552.0,6374.0,530.0,641.0,82.7,439.0,558.0,78.7,105.0,173.0,60.7,0.0,0.9,1.5,-0.9,21.0,167.0,21.0,2.0,187.0,0.0,48.0,30.0,0.0,8.0,13.0,32.0,1.0,0.0,0.0,218.0,45.0,41.0,52.3,1.0,16.0,2.0,12.5,0.49,0.06,0.06,0.5,23.2,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,59.0,32.0,28.0,25.0,6.0,31.0,64.0,48.4,33.0,34.0,12.0,22.0,13.0,72.0,46.0,1.0,79.0,85.7,33.0,86.0,23.0,4.0,22.0,0.0,1.24,31.0,41.0,-10.0,-0.31,-0.31,39.3,39.0,0.3,0.01,-0.22,1735.0,75.0,409.0,1029.0,320.0,16.0,1735.0,32.0,19.0,59.4,10.0,31.3,840.0,4759.0,2604.0,53.0,43.0,3.0
Pape Gueye,24.0,Midfielder,Ligue 1,Marseille,15.0,9.0,765.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,8.0,61.0,18.0,0.12,0.0,0.12,0.12,0.12,0.05,0.09,0.14,0.05,0.14,8.5,19.0,2.24,16.0,0.0,0.0,1.0,2.0,0.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0,396.0,487.0,81.3,7394.0,2225.0,140.0,163.0,85.9,200.0,222.0,90.1,44.0,77.0,57.1,0.0,0.8,0.5,-0.8,4.0,52.0,6.0,0.0,61.0,0.0,20.0,18.0,1.0,9.0,13.0,21.0,0.0,0.0,0.0,52.0,15.0,9.0,62.5,1.0,8.0,2.0,25.0,0.94,0.24,0.13,0.5,20.3,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,33.0,21.0,11.0,19.0,3.0,13.0,19.0,68.4,6.0,17.0,3.0,14.0,13.0,46.0,12.0,0.0,51.0,25.0,9.0,72.0,2.0,6.0,19.0,1.0,1.93,12.0,11.0,1.0,0.12,-0.27,13.7,9.7,4.0,0.47,-0.13,602.0,19.0,108.0,389.0,110.0,8.0,602.0,9.0,1.0,11.1,5.0,55.6,449.0,2298.0,1076.0,8.0,13.0,0.0
Josuha Guilavogui,32.0,Defender,Bundesliga,Mainz 05,11.0,5.0,409.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,9.0,1.0,0.0,0.22,0.22,0.0,0.22,0.0,0.02,0.02,0.0,0.02,4.5,4.0,0.88,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,155.0,180.0,86.1,2781.0,1138.0,59.0,64.0,92.2,83.0,90.0,92.2,9.0,19.0,47.4,1.0,0.1,0.2,0.9,1.0,6.0,1.0,0.0,9.0,0.0,5.0,2.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,29.0,7.0,6.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,5.0,0.0,6.0,7.0,85.7,1.0,13.0,7.0,6.0,13.0,28.0,21.0,0.0,37.0,13.4,5.0,62.0,2.0,6.0,16.0,12.0,1.64,5.0,8.0,-3.0,-0.66,-0.35,5.8,8.7,-2.9,-0.64,-0.74,244.0,39.0,157.0,83.0,7.0,4.0,244.0,0.0,0.0,0.0,0.0,0.0,104.0,420.0,138.0,1.0,1.0,0.0
Morgan Guilavogui,25.0,Forward,Ligue 1,Lens,23.0,2.0,566.0,6.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,1.2,2.8,16.0,36.0,75.0,0.32,0.0,0.32,0.32,0.32,0.25,0.2,0.44,0.25,0.44,6.3,27.0,4.26,24.0,0.0,1.0,2.0,0.0,0.0,4.0,0.63,3.0,0.0,0.0,1.0,0.0,0.0,166.0,222.0,74.8,2570.0,791.0,80.0,104.0,76.9,63.0,79.0,79.7,11.0,13.0,84.6,0.0,1.2,1.0,-1.2,14.0,18.0,12.0,0.0,36.0,0.0,14.0,7.0,7.0,5.0,4.0,10.0,0.0,0.0,0.0,21.0,16.0,11.0,59.3,2.0,21.0,8.0,38.1,3.34,1.27,0.1,0.25,15.1,0.0,0.0,0.0,1.6,1.6,0.07,0.4,0.4,21.0,10.0,4.0,12.0,5.0,5.0,11.0,45.5,6.0,11.0,2.0,9.0,4.0,25.0,7.0,0.0,25.0,18.5,2.0,71.0,0.0,21.0,20.0,6.0,1.52,11.0,5.0,6.0,0.95,0.88,11.9,8.7,3.3,0.52,0.37,326.0,11.0,34.0,128.0,166.0,45.0,326.0,10.0,5.0,50.0,5.0,50.0,239.0,1386.0,384.0,16.0,8.0,7.0
Frederic Guilbert,28.0,Defender,Ligue 1,Strasbourg,32.0,29.0,2490.0,27.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.6,2.7,32.0,116.0,70.0,0.07,0.0,0.07,0.07,0.07,0.04,0.06,0.1,0.04,0.1,27.7,42.0,1.52,25.0,10.0,2.0,3.0,1.0,1.0,2.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,1108.0,1467.0,75.5,20135.0,6597.0,450.0,520.0,86.5,522.0,650.0,80.3,112.0,244.0,45.9,0.0,1.6,1.4,-1.6,23.0,87.0,17.0,11.0,116.0,0.0,35.0,15.0,2.0,85.0,71.0,50.0,0.0,0.0,0.0,136.0,23.0,41.0,35.9,2.0,21.0,5.0,23.8,0.76,0.18,0.1,0.4,23.3,4.0,0.0,0.0,1.1,1.1,0.05,0.9,0.9,87.0,50.0,49.0,30.0,8.0,47.0,72.0,65.3,25.0,39.0,10.0,29.0,71.0,158.0,99.0,1.0,78.0,81.4,29.0,85.0,23.0,3.0,10.0,1.0,1.22,31.0,42.0,-11.0,-0.4,-0.24,34.5,37.2,-2.6,-0.09,0.07,1843.0,143.0,652.0,831.0,379.0,17.0,1843.0,34.0,19.0,55.9,14.0,41.2,1151.0,6306.0,2506.0,32.0,35.0,3.0
Hugo Guillamón,23.0,Midfielder,La Liga,Valencia,26.0,12.0,1315.0,14.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.2,0.2,0.4,0.6,6.0,65.0,10.0,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,14.6,30.0,2.05,27.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,695.0,81.2,9956.0,3003.0,271.0,308.0,88.0,212.0,253.0,83.8,66.0,105.0,62.9,0.0,0.4,0.5,-0.4,9.0,62.0,3.0,1.0,65.0,0.0,36.0,25.0,0.0,6.0,12.0,15.0,0.0,1.0,0.0,80.0,15.0,15.0,50.0,1.0,3.0,2.0,66.7,0.21,0.14,0.33,0.5,18.3,0.0,0.0,0.0,0.2,0.2,0.07,0.8,0.8,24.0,15.0,7.0,14.0,3.0,11.0,17.0,64.7,6.0,8.0,3.0,5.0,12.0,36.0,25.0,2.0,51.0,38.5,12.0,86.0,8.0,14.0,20.0,11.0,1.5,15.0,19.0,-4.0,-0.27,-0.23,16.3,21.8,-5.5,-0.38,-0.42,789.0,34.0,183.0,496.0,114.0,5.0,789.0,2.0,2.0,100.0,0.0,0.0,382.0,1402.0,605.0,6.0,5.0,0.0
